"createdAt","objectId","updatedAt","keel","nimetus","published","eluarisyndmus","identifikaator","kirjeldus","tegevusvaldkond","teenusetyyp","ministeerium","allasutus","osakondyksus","omanikunimi","omanikuamet","omanikutelefon","omanikuemail","konfinfo","eeltingimus"
"20-01-2016","4f53d6f9-5dfd-4ba6-9317-b8e8e1e8c2a8","20-01-2016","et","Pädevustunnistuse kehtivuse pikendamised","1","","TJA-020","Kontrollitakse, kas töövaldkonnas nõutav pädevus ei ole vahepeal muutunud ja isik on osa võtnud erialasest täiendõppest. Isikul on olemas kehtiv tervisetõend ja puuduvad välistused karistusregistris. ","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","","","","","","0",""
"20-01-2016","5e217ae5-5e95-40ea-9c00-1a045ea38a5c","20-01-2016","et","Pürotehnilise toote käitlemise tegevusloa taotluse läbivaatamine","1","","TJA-021","Kontrollitakse asjakohaste tehniliste vahendite ja nõutava personali olemasolu ning seda, et seotud isikutel ei oleks välistusi seoses varasemate karistustega. ","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","acabc0c9-3d4c-47cc-80d4-1270ce130624","20-01-2016","et","Pürotehnilise toote ettevalmistuskohale heakskiidu andmine","1","","TJA-022","-","Ohutus","Kinnitus / tõend","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","e6545d0e-22cd-4277-aeb7-78f85f71fded","20-01-2016","et","Pürotehnilise toote Eestisse toomisest teatamine","1","","TJA-023","-","Ohutus","Kinnitus / tõend","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","843db836-8cb0-4cee-ab27-950954858ee5","20-01-2016","et","Kohtutäituri täitemenetluse toimingu kooskõlastamine","1","","TJA-024","-","Ohutus","Kinnitus / tõend","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","79115ae6-1e11-47b7-ab7a-d49473216d1c","20-01-2016","et","Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - A-kategooria suurõnnetuse ohuga ettevõte","1","","TJA-025","Kontrollime, kas käitisele ei ole väljastatud juba lõhkematerjali või pürotehnilise toote käitamisluba või keskkonnkompleksluba.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","130ac87c-d2c9-4ffd-9875-088d1cf5bd7b","20-01-2016","et","Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - B-kategooria suurõnnetuse ohuga ettevõte","1","","TJA-026","Kõigepealt kontrollitakse, kas käitisele ei ole väljastatud juba lõhkematerjali või pürotehnilise toote käitamisluba või keskkonnkompleksluba. Kontollitakse või selgitatakse välja keskkonnamõju hindamise vajadus.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","","","","","","0",""
"20-01-2016","9dcd8720-4f42-4fa5-b67d-0e9eba1d3668","20-01-2016","et","Ohtliku kemikaali käitlemise tegevusloa taotluse läbivaatamine - ohtlik ettevõte","1","","TJA-027","Kõigepealt kontrollitakse, kas käitisele ei ole väljastatud juba lõhkematerjali või pürotehnilise toote käitamisluba või keskkonnkompleksluba. Kontollitakse või selgitatakse välja keskkonnamõju hindamise vajadus.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","","","","","","0",""
"20-01-2016","5e5a7e56-ab1b-4aeb-b241-b11fa85f903c","20-01-2016","et","Kohustusliku dokumentatsiooni kooskõlatamine","1","","TJA-028","Kooskõlastamine","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","36c14899-4a87-40cc-9f05-8936cc950b59","20-01-2016","et","Õnnetusest teavitamine","1","","TJA-029","-","Ohutus","Teabenõue/Märgukiri/Vaie","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","79451d52-f1c3-4e35-aa56-50ed5e2a71e4","20-01-2016","et","Mõõtevahendi siseriikliku tüübikinnitustunnistuse väljastamine ja muutmine","1","","TJA-030","Teostame legaalmetroloogilise ekspertiisi tuvastamaks mõõtevahendi tüübi nõuetele vastavust.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","172fd01c-90ec-4eb7-9705-447d0d6e0230","20-01-2016","et","Mõõtevahendi taadelduks tunnistamine","1","","TJA-031","Taatlusvõimaluse puudumisel Eestis, tunnistab TJA teistes riikides väljastatud jälgitavate mõõtetulemuste alusel mõõtevahendi legaalmetroloogilise ekspertiisi käigus taadelduks.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","4825bc06-642c-4dd1-8748-34911b60afcc","20-01-2016","et","Teatise väljastamine RHM määruse 100 (kehtetu) alusel","1","","TJA-032","Tolli- ja aktsiismõõtmiseks kasutatavate mõõtevahendite taatlustulemuste hindamine ja sellekohase teatise väljastamine.","Ohutus","Kinnitus / tõend","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","94c0b5eb-90ee-473d-9aeb-edeefd752d17","20-01-2016","et","Taatlusmärgiste valmistaja valimine/määramine","1","","TJA-033","eelmine regulatsioon kehtetu, uus regulatsioon välja töötamisel","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","2f9c868f-4117-4d40-b528-9d934cbf7839","20-01-2016","et","Väljastatud mõõtevahendite siseriiklike tüübikinnituste loetelu haldamine","1","","TJA-034","Mõõtevahendite siseriiklike tüübikinnituste loetelu avalikustamine TJA kodulehel ja päringute alusel tunnistuste koopiate väljastamine","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","25f82170-bd92-4372-b09f-48be2c8f890e","20-01-2016","et","Mittevastavast mõõtevahedist teavitamine läbi TJA kodulehe","1","","TJA-035","Taatluslaborid teavitavad TJA-d läbi TJA kodulehe taatluse mitteläbinud mõõtevahenditest.","Ohutus","Teabenõue/Märgukiri/Vaie","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","a612b9ba-ccb0-451c-af9c-ea94f42f0452","20-01-2016","et","Informeerimine ja teavitamine","1","","TJA-036","Infopäevade ja seminaride korraldamine, infotrükiste jagamine","Ohutus","Teabenõue/Märgukiri/Vaie","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","9b51bb25-0ab2-43f2-a087-b56bc648f771","20-01-2016","et","Personali sertifitseerimisasutuse pädevuseksamil osalemine","1","","TJA-037","TJA esindaja osaleb presonali sertifitseerimisasutuse poolt läbi viidava tehnilise kontrolli eksperdi eksamil. TJA esindaja kinnitab eksperdi eksamiprotokolli.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","72445e46-8ce3-40f2-abce-294d4d061881","20-01-2016","et","Paigalidse või seadmega toimunud õnnetusest teavitamine","1","","TJA-038","Registreeritava seadme või paigaldise järelevaataja on kohustatud teavitama TJA-d seadmega toimunud õnnetust.","Töökeskkond ja personal","Teabenõue/Märgukiri/Vaie","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","9df44499-84e2-4210-99d8-50b8704acc64","20-01-2016","et","Registreerimiskohustusega masinate tehniliste kontrollide andmekogu pidamine","1","","TJA-039","TJA peab registreeritavate seadmete ja paigaldiste andmekogu. Registreeritavateks seadmeteks ja paigaldisteks on õigusaktides määratletud kindlatele parameetritele vastavad masina, liftid, köisteed, surveseadmed ning gaasipaigalised.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","3205fc83-0df4-42c0-ac2f-badf650bb347","20-01-2016","et","Menetlustaotluste menetlemine","1","","TJA-040","TJA-le esitatavad kaebused, taotlused järelelevale algatamiseks jne. ","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Tehnikaosakond","","","","","0",""
"20-01-2016","821ace4a-6023-4d24-b742-c55698fb0817","20-01-2016","et","Raadiosagedusloa väljastamine","1","","TJA-041","Raadiosageduste kasutamiseks väljastab TJA sageduslubasid. Sellega antakse sagedusloa omanikule õigus kasutada raadiosageduskanalit teatud tingimustel ning tagatakse häirevaba efektiivne raadiosageduste kasutamine.","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","0f808788-97d3-4f7a-ab23-b71d34c37b56","20-01-2016","et","Raadiosagedusloa pikendamine","1","","TJA-042","Sagedusloa kehtivuse pikendamiseks kehtivatel tingimustel esitab sagedusloa omanik enne loa kehtivuse lõppemist TJA-le","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","32c1a961-974b-490d-b182-18c666637608","20-01-2016","et","Raadiosagedusloa muutmine","1","","TJA-043","Sagedusloa omanik esitab TJA-le  taotluse sagedusloa tingimuste muutmiseks. ","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","726c0f42-3bc3-4837-a2a6-dc0934d4d410","20-01-2016","et","Raadiosagedusloaga kehtestatud õiguste ja kohustuste üleandmine","1","","TJA-044","Sagedusloa omanik võib osaliselt või tervikuna anda sagedusloas piiritletud raadiosageduste kasutamise õiguse üle või kasutuslepingu alusel kasutamiseks teisele","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","5b39f2fb-ab30-47b3-8f35-046bd2fa9fc5","20-01-2016","et","Raadiosagedusloa otsuse ärakirja väljastamine","1","","TJA-045","TJA poolt antud raadiosagedusloa kinnitatud ärakirja väljastamine.","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","7720667e-0c8d-467d-b74a-44eafaa0d211","20-01-2016","et","Raadiohäire teate lahendamine","1","","TJA-046","Raadiosageduste kasutaja võib esitada TJA-le kaebuse seoses raadiohäiretega.","Liiklus ja liiklusvahendid","Teabenõue/Märgukiri/Vaie","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Sagedushalduse osakond","","","","","0",""
"20-01-2016","c99e4d10-9847-4de6-b2dd-4cb33ec95057","20-01-2016","et","Numbriloa väljastamine","1","","TJA-047","Telefoninumbrite jm numbrite kasutamiseks väljastab TJA numbrilubasid. Sellega antakse numbriloa omanikule õigus kasutada numeratsiooni sideteenuse või muu teenuse osutamiseks.","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","a9cac81f-45c1-40a2-8c5a-d5d76ba7376b","20-01-2016","et","Numbriloa pikendamine / ennistamine","1","","TJA-048","Telefoninumbrite jm numbrite kasutamise jätkamiseks on vaja kord aastas TJA juures numbriluba pikendada.","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","f070cbae-1f4d-4ae0-9366-07ffd296a3d3","20-01-2016","et","Numbriloa muutmine","1","","TJA-049","Telefoninumbrite jm numbrite kasutamise loa tingimuste muutmine, näiteks numeratsiooni koguse suurendamine.","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","6c99f1f3-ddef-4aec-9a69-6cf8050d2385","20-01-2016","et","Sertifitseerimisteenuse osutaja registreerimine","1","","TJA-050","Digitaalallkirja seaduse alusel kuuluvad sertifitseerimisteenuse osutajad registreerimisele","Ohutus","Liitumine / Registreerumine","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","fac2ab48-ff73-4a2a-9792-01871386453a","20-01-2016","et","Ajatempliteenuse osutaja registreerimine","1","","TJA-051","Digitaalallkirja seaduse alusel kuuluvad ajatempliteenuse osutajad registreerimisele","Riigi infosüsteemide kasutamine","Liitumine / Registreerumine","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","cd6b0033-9a1d-4b22-803a-34a96d985280","20-01-2016","et","Meediateenuste loa väljastamine","1","","TJA-052","Raadio või televisioonisaadete tootmiseks on vaja taotleda vastava liigi meediateenuse luba. Mõnda tüüpi loa väljastamiseks on vajalik eelnev konkurss. ","Side ja meedia","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","6065dbca-2a1b-449b-8734-dead75f5746a","20-01-2016","et","Tellitava audiovisuaalmeediateenuse osutaja registreerimine","1","","TJA-053","Tellitav audiovisuaalmeediateenus seisneb saadete vaatamise võimaldamises teenuse kasutaja valitud ajal, valikul ja taotlusel.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","b8d8615d-133a-42df-8274-c5401234cb11","20-01-2016","et","Sideteenuse osutamise majandustegevusteate registreerimine","1","","TJA-054","Kui ettevõte soovib hakata pakkuma üldkasutatavat elektroonilise side teenust (mobiiltelefoniteenus, telefoniteenus, andmeside vms) siis peab ta esitama majandustegevusteate.","Side ja meedia","Liitumine / Registreerumine","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Side- ja meediateenuste osakond","","","","","0",""
"20-01-2016","4c3b5ce1-337a-4330-a574-081d95d80f86","20-01-2016","et","Veeremi remondiloa väljastamine","1","","TJA-055","Majandustegevuse üldosaseaduse kohaselt ning raudteeseaduse alusel on raudteeveeremi tehnohoolde- ja remondilubade väljastajaks TJA. ","Transport","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","72de2d2b-725a-4225-9802-d748e7f1e94b","20-01-2016","et","Tegevuseeskirjade kooskõlastamine ja kinnitamine","1","","TJA-056","Tegevuseeskirjas kehtestatakse raudteeinfrastruktuuri korrashoiu, raudteeliikluse korraldamise ja teistele isikutele raudteeinfrastruktuuri kasutada andmise tingimused","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","fb6dc317-6c2b-4ccc-93a0-d79752c8a966","20-01-2016","et","Ohutusjuhtimise süsteemi kooskõlastamine ja kinnitamine","1","","TJA-057","Raudtee-ettevõtja peab ohutusjuhtimise süsteemi kehtestamisel lähtuma eesmärgist tagada oma raudteealase tegevusega seotud riskide juhtimine","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","32d29f74-29df-45f1-97dc-0490ae2bbcef","20-01-2016","et","Ohutustunnistuste väljastamine","1","","TJA-058","Raudtee-ettevõtja peab omama peale tegevusloa ka ohutustunnistust.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","e837ce3f-9e4d-4f38-87db-1c02e539e7b9","20-01-2016","et","Raudteeveeremi kasutuselevõtuloa väljastamine","1","","TJA-059","Koostalitluse tehnilisele kirjeldusele vastava või mittevastava raudteeveeremi puhul menetluse läbiviimise järele väljastab TJA kautuselevõtuloa","Transport","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","4cd4b158-644f-4066-967f-e2a7b6b737af","20-01-2016","et","Diiselmootorite tüübikinnitustunnistuste väljastamine","1","","TJA-060","Tüübikinnitus on menetlus, mille tulemusena TJA  tunnistab, et raudteeveeremi tüüp või vedurile, mootorvagunile ning eriveeremile paigaldatava mootori tüüp vastab kehtestatud nõuetele, ja annab välja raudteeveeremi tüübikinnituse.","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","c5526957-5db3-4431-9c81-d2773a4fd1cc","20-01-2016","et","Vedurijuhilubade väljastamine","1","","TJA-061","Isik, kes soovib saada vedurijuhiks peab läbima vastava koolituse ning sooritama eksami. Eksami sooritamise järele väljastatakse vedurijuhiluba. ","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","dce14eaa-8ca6-4ad7-9ec8-c33148d8404e","20-01-2016","et","Raudteeveol töötava ohutusnõuniku eksami läbiviimine","1","","TJA-062","Peale ohutusnõuniku koolitust tuleb sooritada TJA vastav eksam.","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","0e5d4215-b9ed-4782-a284-07f89275d954","20-01-2016","et","Raudteeveol töötava ohutusnõuniku tunnistuse väljastamine","1","","TJA-063","Kui ettevõtja tegevuse hulka kuulub ohtliku veose autovedu, raudteevedu, siseveeteede vedu peab ettevõtja määrama ohutusnõuniku","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
"20-01-2016","1ffc074c-bf75-4ff9-9936-45c59e2198fa","20-01-2016","et","Vedurijuhtide koolituskavade kooskõlastamine","1","","TJA-064","Vedurijuhtide koolitust võib läbi viia täiskasvanute koolituse seaduse nõuete alusel pädev isik, kellel on kehtiv vedurijuhiluba ja vähemalt kolmeaastane vedurijuhi töökogemus.","Liiklus ja liiklusvahendid","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Raudteetranspordi osakond","","","","","0",""
